Attribute;Entity;Scope;Attribute  Definition;Type;Mandatory Header;code/detail;Dimensions 
Client_Risk_Carrier_Name;Cedent;;Name of the legal entity the corresponding reinsurance treaty is written or will be written;code;no;Omega;Yes
Commercial_Client_Name;Cedent;;Name of the legal entity the business relationship is conducted with;code;no;Omega;Yes
Distribution_brand_name;Cedent;;The brand name the portfolio is distributed under;Free text;no;;Yes
Client_group;Cedent;;Client group name;code;No;Omega Ultimate Group label;Yes
Client_segmentation;Cedent;;Category of client;code;No;A/B/C;Yes
Client_code;Cedent;;Official code to identify client (insurer);code;No;Omega NAIC client;Yes
Client_country;Cedent;;Country of client;code;No;Omega Client Country Code;Yes
Deal_ID;DealTreaty;;Reference to the deal corresponding to a New Business opportunity;code;No;Salesforce;Yes
Quote_Number_Everest;DealTreaty;;Reference to the New Business opportunities according to Everest;code;No;Everest;Yes
Treaty_Number_Omega;DealTreaty;;Reference to the Omega assumed treaty (mandatory for inforce treaties);code;No;Omega Treaty Number;Yes
Treaty_Number_Everest;DealTreaty;;Reference to the Everest assumed treaty (mandatory for inforce treaties);code;No;Omega Everest Treaty Number;Yes
Business_Area;DealTreaty;;Official LOB classification according to SCOR reporting;code;No;Protection/Financial solutions/Longevity;Yes
Portfolio_Origin;DealTreaty;;Block of portfolio origin (in particular used for merged entities);code;No;Omega Portfolio Origin;Yes
Currency;DealTreaty;;Monetary unit of the Reinsurance treaty.;code;No;Omega Currency Code;Yes
Legal_Entity;DealTreaty;;Legal Entity SCOR for RI treaty;code;No;Omega Subsidiary/Sub Ledger (lab.);Yes
Product_ID;Insurance Product;;SCOR internal product ID;Free Text;Yes;;No
Product_start_date;Insurance product;;Start date of underlying product sales;Date;No;;No
Product_end_date;Insurance product;;End date of underlying product sales;Date;No;;No
Type_of_policy;Insurance Product;;Method of risk acceptance;code;No;Group/Indiv;Yes
Product_type;Insurance product;;Main category of type of product the insurance cover is part of.;code;No;Protection/Savings/Loan-linked/Annuity;Yes
Gender_differentiation;Insurance Product;;Indicator if insurance premium differentiated by gender;code;No;Yes/No;Yes
Smoker_differentiation;Insurance Product;;Indicator if insurance premium differentiated by smoking status;code;No;Yes/No;Yes
Age_at_Commencement_definition;Insurance Product;;Age definition applied by insurer in product/ premium definition;code;No;Age Last Birthday/Age Nearest Birthday/Age Next Birthday;Yes
Mortality_definition;Product benefit;;Coverage definition for Death;code;No;all causes/all causes excl suicide/sudden death/accidental;Yes
Terminal_Illness_benefit;Product benefit;;Indicator if Terminal Illness is included in Death cover or not;code;No;Yes/No;Yes
Risk_Type;Product benefit;;Risk type covered under product;code;Yes;Death/CI/TPD/LTC/DI/Health;No
Med_risk_class_structure_client;Product benefit;;Client's class stucture to differentiate medical risk, like smoking or preferred classes  (e.g. 4N/2S);code;No;N1S1/N2S1/N3S1/…/N9S9;Yes
Occ_risk_class_structure_client;Product benefit;;Client's # of classes to differentiate the occupational risk;Numeric;No;;Yes
Min_Age_at_commencement;Product benefit;;Minimum age accepted for policy issuance;age;No;;No
Max_Age_at_commencement;Product benefit;;Maximum age accepted for policy issuance;age;No;;No
Max_Benefit_Expiry_Age;Product benefit;;Maximum age coverage provided by plan;age;No;;No
Min_Face_Amount;Product Benefit;;Minimum eligeable face amount for policy coverage;Numeric;No;;No
Max_Face_Amount;Product Benefit;;Maximum eligeable face amount for policy coverage;Numeric;No;;No
Min_Benefit_Term;Product benefit;;Minimum cover duration option provided by product;Numeric;No;;Yes
Max_Benefit_Term;Product benefit;;Maximum cover duration option provided by product;Numeric;No;;yes
Client_group_Omega_code;Cedent;;Omega ID for client group;code;no;Omega Ultimate Group;Yes
Client_grouping_other;Cedent;;Other types of client grouping for reporting / analysis purpose;Free text;No;;Yes
Client_Omega_Code;Cedent;;Omega ID for client;code;No;Omega Client Code;Yes
Treaty_Number_Everest_no_Amm;DealTreaty;;Reference to the Everest assumed treaty excluding amendment number (mandatory for inforce treaties);code;No;Everest;Yes
Legal_Entity_code;DealTreaty;;Code of Legal Entity SCOR for RI treaty;code;No;Omega Subsidiary/Sub Ledger;Yes
Reinsurance_Type;DealTreaty;;Type of reinsurance structure;code;No;Coins/Mod-Co/YRT;Yes
Loan_Type;Insurance Product;;Sub-category for loan-linked product;code;No;Mortgage/Personal Loan/Credit Card;Yes
Product_type_detail;Insurance Product;;Detailed product type;Free text;No;;Yes
Product_name;Insurance Product;;Product name;Free text;No;;Yes
Age_differentiation;Insurance Product;;Type of age differentiation of product / insurance premium;code;No;Age/Age-Band;Yes
Return_of_Premium;Insurance Product;;Indicator if Return of Premium is included in product;code;No;Yes/No;Yes
Secondary_Guarantee_Indicator;Insurance Product;;Indicator if Secondary Guarantee is included in product;code;No;Yes/No;Yes
Survival_period;Product benefit;;Survival duration in days from incurring of event upon which the event is covered;Numeric;No;;Yes
Med_risk_class_structure_SCOR;Product benefit;;SCOR's class stucture to differentiate medical risk, like smoking or preferred classes  (e.g. 4N/2S);code;no;N1S1/N2S1/N3S1/…/N9S9;Yes
Socio_eco_risk_class_structure;Product benefit;;Number of classes to differentiate the socio-economic risk;Numeric;No;;Yes
Insur_Premium_Guarantee_Type;Product benefit;;Type of premium rate guarantee provided to the policyholder;code;No;None/years/full;Yes
Insur_Premium_Guarantee_Term_Yrs;Product benefit;;Number of years the premium rate is guaranteed to the insured;Numeric;No;;Yes
Post_Level_Term_Structure;Product benefit;;Type of insurance premium adjustment post the level term period;code;No;Jump to ART/Graded/Jump to New Level/Decreasing SA;Yes
Reinsur_Premium_Guarantee_Type;Product benefit;;Type of reinsurance premium rate guarantee;code;No;None/years/soft/full;Yes
Reins_Premium_Guarantee_Term_Yrs;Product benefit;;Number of years  the reinsurance premium rate is guaranteed;Numeric;No;integer > 0;Yes
Rating_type_1;Product benefit;;Type of risk loading applied to policies - type 1;code;No;medical/occupational/other/mixed;Yes
Rating_type_2;Product benefit;;Type of risk loading applied to policies - type 2;code;No;medical/occupational/other/mixed;Yes
Product_dummy_text_1;Product benefit;;Free text variable for any information not covered in data dictionary;Free text;No;;Yes
Product_dummy_text_2;Product benefit;;Free text variable for any information not covered in data dictionary;Free text;No;;Yes
Product_dummy_text_3;Product benefit;;Free text variable for any information not covered in data dictionary;Free text;No;;Yes
Product_dummy_value_1;Product benefit;;Numerical variable for any information not covered in data dictionary;Numeric;No;;Yes
Product_dummy_value_2;Product benefit;;Numerical variable for any information not covered in data dictionary;Numeric;No;;Yes
Product_dummy_value_3;Product benefit;;Numerical variable for any information not covered in data dictionary;Numeric;No;;Yes
Life_ID;Life;All;Unique ID for distinguishing insureds;Free Text;No;;No
Date_of_Birth;Life;All;Date of Birth;Date;No;;No
Gender;Life;All;Gender;Code;No;Male/Female/Unknown;Yes
Date_of_last_medical_selection;Life;All;Date of last medical selection of the policy;Date;No;;No
Policy_ID;Policy;All;Unique identifier allowing to distinguish different policies ;Free Text;No;;No
Age_at_Commencement;Policy;All;The age at the date of commencement.;Age;No;;Yes
Benefit_Term_Years_Upper_Band;Benefit;All;Upper Limit of Band for Benefit Term Years;Numeric;No;;Yes
Benefit_Max_Age;Policy;All;Maximum age of benefit coverage;Age;No;;Yes
Benefit_End_Date;Benefit;All;Date when the insured stops to be covered. Benefit payments can carry on, but new claims will not be covered ;Date;No;;No
Date_of_Commencement;Benefit;All;Commencement date of benefit coverage.;Date;Yes;;No
