Attribute;Attribute  Definition;Type;Mandatory;code / detail;Comment;Exclude
Year;Calendar Year of incurred events the factor applies to;code;yes*;[0-9]{4};Mandatory to have one and only one of four attributes (Year / Half-Year / Quarter / Month);1
Half_Year;Calendar half-year of incurred events the factor applies to;code;yes*;[0-9]{4}H(1|2);Mandatory to have one and only one of four attributes (Year / Half-Year / Quarter / Month);1
Quarter;Calendar Quarter of incurred events the factor applies to;code;yes*;[0-9]{4}Q(1|2|3|4);Mandatory to have one and only one of four attributes (Year / Half-Year / Quarter / Month);1
Month;Calendar Month of incurred events the factor applies to;code;yes*;[0-9]{4}M((1[0-2])|[0-9]);Mandatory to have one and only one of four attributes (Year / Half-Year / Quarter / Month);1
Result_Metric;Type of result metric the factor is applied to;code;no;(?i)(By Count)|(By Amount);;
Decrement;Type of decrement the factor is applied to;code;yes;(qx)|(ix)|(wx)|(tx)|(ix+qx);;
Client_Risk_Carrier_Name;Name of the legal entity the corresponding reinsurance treaty is written or will be written;refdata;no;;;
Commercial_Client_Name;Name of the legal entity the business relationship is conducted with;refdata;no;;;
Distribution_brand_name;The brand name the portfolio is distributed under;Free text;no;;;
Client_group;Client group name;code;no;;;
Client_segmentation;Category of client;code;no;(?i)(A)|(B)|(C);;
Client_code;Official code to identify client (insurer);code;no;;;
Client_country;Country of client;refdata;no;;;
Deal_ID;Reference to the deal corresponding to a New Business opportunity;Free Text;no;;;
quote_number_everest;Reference to the New Business opportunities according to Everest;code;no;;;
treaty_number_omega;Reference to the Omega assumed treaty (mandatory for inforce treaties);refdata;no;;;
treaty_number_everest;Reference to the Everest assumed treaty (mandatory for inforce treaties);code;no;;;
Business_Area;Official LOB classification according to SCOR reporting;code;no;(?i)(Protection)|(Financial Solutions)|(Longevity);;
Portfolio_Origin;Block of portfolio origin (in particular used for merged entities);refdata;no;;;
Currency;Monetary unit of the Reinsurance treaty.;refdata;no;;;
Legal_Entity;Legal Entity SCOR for RI treaty;refdata;no;;;
Type_of_policy;Method of risk acceptance;code;no;(?i)(Group)|(Indiv);;
Product_type;Main category of type of product the insurance cover is part of.;code;no;(?i)(Protection)|(Savings)|()|(Loan-Linked)|(Annuity);;
Gender_differentiation;Product/premium differentiated by gender?;code;no;(?i)(Yes)|(No);;
Mortality_definition;Coverage definition for Death;code;no;(?i)(all causes)|(all causes excl suicide)|(sudden death)|(accidental);;
terminal_illness_benefit;Indicator if Terminal Illness is included in Death cover or not;code;no;(?i)(Yes)|(No);;
med_risk_class_structure_client;# of classes in preferred class structure or other method of differentiating the medical risk (e.g. 4N/2S);code;no;(N1S1)|(N2S1)|(N3S1)|(N4S1)|(N5S1)|(N6S1)|(N7S1)|(N8S1)|(N9S1)|(N1S2)|(N2S2)|(N3S2)|(N4S2)|(N5S2)|(N6S2)|(N7S2)|(N8S2)|(N9S2)|(N1S3)|(N2S3)|(N3S3)|(N4S3)|(N5S3)|(N6S3)|(N7S3)|(N8S3)|(N9S3)|(N1S4)|(N2S4)|(N3S4)|(N4S4)|(N5S4)|(N6S4)|(N7S4)|(N8S4)|(N9S4)|(N1S5)|(N2S5)|(N3S5)|(N4S5)|(N5S5)|(N6S5)|(N7S5)|(N8S5)|(N9S5)|(N1S6)|(N2S6)|(N3S6)|(N4S6)|(N5S6)|(N6S6)|(N7S6)|(N8S6)|(N9S6)|(N1S7)|(N2S7)|(N3S7)|(N4S7)|(N5S7)|(N6S7)|(N7S7)|(N8S7)|(N9S7)|(N1S8)|(N2S8)|(N3S8)|(N4S8)|(N5S8)|(N6S8)|(N7S8)|(N8S8)|(N9S8)|(N1S9)|(N2S9)|(N3S9)|(N4S9)|(N5S9)|(N6S9)|(N7S9)|(N8S9)|(N9S9)|(N1S0)|(N2S0)|(N3S0)|(N4S0)|(N5S0)|(N6S0)|(N7S0)|(N8S0)|(N9S0)|(N0S1)|(N0S2)|(N0S3)|(N0S4)|(N0S5)|(N0S6)|(N0S7)|(N0S8)|(N0S9);;
occ_risk_class_structure_client;# of classes or other method of differentiating the occupational risk;Numeric+;no;integer;;
Gender;Gender of the insured;Code;no;(?i)(Male)|(Female);;
Age_at_Commencement;The age of the insured at the date of commencement.;Age;no;;;
benefit_max_age;Maximum age of benefit coverage;Age;no;;;
Benefit_Term_Years_Upper_Band;Band is defined according to the local standards;Numeric+;no;integer/not null;;
face_amount_upper_band_client;Face Amount at Date of Commencement, banded according to Expected Table banding;Numeric+;no;;;
face_amount_upper_band_scor;Face Amount at Date of Commencement, banded according to analysis band;Numeric+;no;;;
Main_Risk_Type;Type of main benefit of policy based on EA classification;code;no;(?i)(Life)|(CI)|(DI)|(LTC)|(TPD)|(Health)|( Unemployment);;
Acceleration_Risk_Type;Type of benefit that is attaching to a life insurance policy, and which is payable prior to death on a condition e.g. terminal illness or critical illness. The remaining benefit amount for the life cover is reduced by the acceleration benefit;code;no;(?i)(TPD)|(CI)|(LTC);;
Settlement_Decision;Some settlement issues can happen when e.g. there is a dispute with an insured Indicator if a settlement decision has been taken leading to a partial payment only;code;no;(?i)(Yes)|(No);;
UDF;Ultimate Development Factor;Numeric+;yes;;;
Client_group_Omega_code;;refdata;No;;;
Client_grouping_other;;Free text;No;;;
Client_Omega_code;;refdata;No;;;
Treaty_Number_Everest_no_Amm;;refdata;No;;;
Legal_Entity_code;;refdata;No;;;
Reinsurance_Type;;code;No;(Coins)|(Mod-Co)|(YRT);;
Loan_Type;;code;No;(Mortgage)|(Personal Loan)|(Credit Card)|(Professional Loan) ;;
Product_type_detail;;Free text;No;;;
Product_name;;Free text;No;;;
Age_differentiation;;code;No;(Age)|(Age-Band);;
Return_of_Premium;;code;No;(?i)(Yes)|(No);;
Secondary_Guarantee_Indicator;;code;No;(?i)(Yes)|(No);;
Survival_period;;Numeric+;No;integer/not null;;
Med_risk_class_structure_SCOR;;code;No;(N1S1)|(N2S1)|(N3S1)|(N4S1)|(N5S1)|(N6S1)|(N7S1)|(N8S1)|(N9S1)|(N1S2)|(N2S2)|(N3S2)|(N4S2)|(N5S2)|(N6S2)|(N7S2)|(N8S2)|(N9S2)|(N1S3)|(N2S3)|(N3S3)|(N4S3)|(N5S3)|(N6S3)|(N7S3)|(N8S3)|(N9S3)|(N1S4)|(N2S4)|(N3S4)|(N4S4)|(N5S4)|(N6S4)|(N7S4)|(N8S4)|(N9S4)|(N1S5)|(N2S5)|(N3S5)|(N4S5)|(N5S5)|(N6S5)|(N7S5)|(N8S5)|(N9S5)|(N1S6)|(N2S6)|(N3S6)|(N4S6)|(N5S6)|(N6S6)|(N7S6)|(N8S6)|(N9S6)|(N1S7)|(N2S7)|(N3S7)|(N4S7)|(N5S7)|(N6S7)|(N7S7)|(N8S7)|(N9S7)|(N1S8)|(N2S8)|(N3S8)|(N4S8)|(N5S8)|(N6S8)|(N7S8)|(N8S8)|(N9S8)|(N1S9)|(N2S9)|(N3S9)|(N4S9)|(N5S9)|(N6S9)|(N7S9)|(N8S9)|(N9S9)|(N1S0)|(N2S0)|(N3S0)|(N4S0)|(N5S0)|(N6S0)|(N7S0)|(N8S0)|(N9S0)|(N0S1)|(N0S2)|(N0S3)|(N0S4)|(N0S5)|(N0S6)|(N0S7)|(N0S8)|(N0S9);;
Socio_eco_risk_class_structure;;Numeric+;No;integer;;
Insur_Premium_Guarantee_Type;;code;No;(None)|(years)|(full);;
Insur_Premium_Guarantee_Term_Yrs;;Numeric+;No;integer/not null;;
Post_Level_Term_Structure;;code;No;(Jump to ART)|(Graded)|(Jump to New Level)|(Decreasing SA);;
Reinsur_Premium_Guarantee_Type;;code;No;(None)|(years)|(soft)|(full);;
Reins_Premium_Guarantee_Term_Yrs;;Numeric+;No;integer/not null;;
Rating_type_1;;code;No;(medical)|(occupational)|(other)|(mixed);;
Rating_type_2;;code;No;(medical)|(occupational)|(other)|(mixed);;
Product_dummy_text_1;;Free text;No;;;
Product_dummy_text_2;;Free text;No;;;
Product_dummy_text_3;;Free text;No;;;
Product_dummy_value_1;;Numeric;No;;;
Product_dummy_value_2;;Numeric;No;;;
Product_dummy_value_3;;Numeric;No;;;
Smoker_differentiation;;code;No;(?i)(Yes)|(No);;
Age_at_commencement_definition;;code;No;(Age Last Birthday)|(Age Nearest Birthday)|(Age Next Birthday);;
Joint_Life_Type;;code;No;(Single)|(Dual Life)|(First to Die)|(Second to Die);;
