TREATY;NAIC_Client;Origine_Ptf;Devise;Subsidiary;Esb;esb_ll
TR0027965; ;SGL PARIS;XAF;4;1;PARIS
TR0035030; ;SGL PARIS;EUR;4;1;PARIS
04T000702; ;SGL PARIS;EUR;4;1;PARIS
04T005950; ;SGL PARIS;EUR;4;1;PARIS
04T006911;0;SGL PARIS;MXN;4;1;PARIS
04T007682;0;SGL PARIS;USD;4;1;PARIS
04T007682;0;SGL PARIS;NIO;4;1;PARIS
04T007683;0;SGL PARIS;USD;4;1;PARIS
04T007683;0;SGL PARIS;NIO;4;1;PARIS
04T007684;0;SGL PARIS;USD;4;1;PARIS
04T007684;0;SGL PARIS;NIO;4;1;PARIS
04T007781;0;SGL PARIS;USD;4;1;PARIS
04U007421; ;Prevoyance Re;EUR;4;1;PARIS
04U007455; ;Prevoyance Re;EUR;4;1;PARIS
04U007513; ;Prevoyance Re;EUR;4;1;PARIS
04U007610; ;Prevoyance Re;EUR;4;1;PARIS
04U007614; ;Prevoyance Re;EUR;4;1;PARIS
TR0001631;0;SGL PARIS;COP;4;1;PARIS
TR0002274;0;SGL PARIS;MXN;4;1;PARIS
TR0002274;0;SGL PARIS;USD;4;1;PARIS
TR0010376; ;SGL PARIS;PYG;4;1;PARIS
TR0010899; ;SGL PARIS;USD;4;1;PARIS
TR0015055; ;SGL PARIS;PYG;4;1;PARIS
TR0015066; ;SGL PARIS;EUR;4;1;PARIS
TR0016653; ;SGL PARIS;EUR;4;1;PARIS
TR0016658; ;SGL PARIS;EUR;4;1;PARIS
TR0017173; ;SGL PARIS;EUR;4;1;PARIS
TR0017311; ;SGL PARIS;EUR;4;1;PARIS
TR0021637; ;SGL PARIS;EUR;4;1;PARIS
TR0024557;0;SGL PARIS;MXN;4;1;PARIS
TR0024890; ;SGL PARIS;EUR;4;1;PARIS
TR0025838; ;SGL PARIS;PEN;4;1;PARIS
TR0025838; ;SGL PARIS;USD;4;1;PARIS
TR0026197; ;SGL PARIS;EUR;4;1;PARIS
TR0026270;0;SGL PARIS;MXN;4;1;PARIS
TR0026270;0;SGL PARIS;USD;4;1;PARIS
TR0026270;0;SGL PARIS;MXV;4;1;PARIS
TR0027995; ;SGL PARIS;XAF;4;1;PARIS
TR0028474; ;SGL PARIS;XAF;4;1;PARIS
TR0034340; ;SGL PARIS;EUR;4;1;PARIS
TR0034477;0;SGL PARIS;USD;4;1;PARIS
TR0034504;0;SGL PARIS;USD;4;1;PARIS
TR0034672;0;SGL PARIS;USD;4;1;PARIS
TR0034886; ;SGL PARIS;PYG;4;1;PARIS
TR0034926; ;SGL PARIS;CLF;4;1;PARIS
TR0035253; ;SGL PARIS;ARS;4;1;PARIS
TR0035255; ;SGL PARIS;ARS;4;1;PARIS
TR0035436;T9608;SGL PARIS;USD;4;1;PARIS
TR0035534; ;SGL PARIS;PEN;4;1;PARIS
TR0035640;0;SGL PARIS;COP;4;1;PARIS
TR0035934; ;SGL PARIS;PYG;4;1;PARIS
TR0036116; ;SGL PARIS;PYG;4;1;PARIS
TR0036900; ;SGL PARIS;CLF;4;1;PARIS
04T000253; ;SGL PARIS;EUR;4;1;PARIS
04T000562; ;SGL PARIS;EUR;4;1;PARIS
04T000875; ;SGL PARIS;EUR;4;1;PARIS
04T002115; ;SGL PARIS;EUR;4;1;PARIS
04T002266; ;SGL PARIS;EUR;4;1;PARIS
04T002350; ;SGL PARIS;EUR;4;1;PARIS
04T002379; ;SGL PARIS;EUR;4;1;PARIS
04T002667; ;SGL PARIS;EUR;4;1;PARIS
04T002679; ;SGL PARIS;EUR;4;1;PARIS
04T002793; ;SGL PARIS;EUR;4;1;PARIS
04T004474; ;SGL PARIS;EUR;4;1;PARIS
04T004475; ;SGL PARIS;EUR;4;1;PARIS
04T004824; ;SGL PARIS;EUR;4;1;PARIS
04T004882; ;SGL PARIS;EUR;4;1;PARIS
04T004955; ;SGL PARIS;EUR;4;1;PARIS
04T005011; ;SGL PARIS;EUR;4;1;PARIS
04T005017; ;SGL PARIS;EUR;4;1;PARIS
04T005018; ;SGL PARIS;EUR;4;1;PARIS
04T005019; ;SGL PARIS;EUR;4;1;PARIS
04T005064; ;SGL PARIS;EUR;4;1;PARIS
04T005155; ;SGL PARIS;EUR;4;1;PARIS
04T005165;0;SGL PARIS;EUR;4;1;PARIS
04T005166;0;SGL PARIS;EUR;4;1;PARIS
04T005356; ;SGL PARIS;EUR;4;1;PARIS
04T005442; ;SGL PARIS;EUR;4;1;PARIS
04T005450; ;SGL PARIS;EUR;4;1;PARIS
04T005586; ;SGL PARIS;EUR;4;1;PARIS
04T005587; ;SGL PARIS;EUR;4;1;PARIS
04T005595; ;SGL PARIS;EUR;4;1;PARIS
04T005615; ;SGL PARIS;EUR;4;1;PARIS
04T005743; ;SGL PARIS;EUR;4;1;PARIS
04T005938; ;SGL PARIS;EUR;4;1;PARIS
04T006063; ;SGL PARIS;EUR;4;1;PARIS
04T006081; ;SGL PARIS;EUR;4;1;PARIS
04T006082; ;SGL PARIS;EUR;4;1;PARIS
04T006108; ;SGL PARIS;EUR;4;1;PARIS
04T006109; ;SGL PARIS;EUR;4;1;PARIS
04T006110; ;SGL PARIS;EUR;4;1;PARIS
04T006111; ;SGL PARIS;EUR;4;1;PARIS
04T006112; ;SGL PARIS;EUR;4;1;PARIS
04T006154; ;SGL PARIS;EUR;4;1;PARIS
04T006155; ;SGL PARIS;EUR;4;1;PARIS
04T006823;T9594;SGL PARIS;CLF;4;1;PARIS
04T006825;T9594;SGL PARIS;CLF;4;1;PARIS
04T006826;T9594;SGL PARIS;CLF;4;1;PARIS
04T006837;0;SGL PARIS;MXN;4;1;PARIS
04T006848;0;SGL PARIS;MXN;4;1;PARIS
04T006848;0;SGL PARIS;USD;4;1;PARIS
04T006857;0;SGL PARIS;COP;4;1;PARIS
04T006881; ;SGL PARIS;EUR;4;1;PARIS
04T007046;T9710;TaRe;EUR;4;1;PARIS
04T007047;T9710;TaRe;EUR;4;1;PARIS
04T007139; ;SGL PARIS;EUR;4;1;PARIS
04T007244; ;SGL PARIS;DZD;4;1;PARIS
04T007355; ;SGL PARIS;MXN;4;1;PARIS
04T007355; ;SGL PARIS;USD;4;1;PARIS
